system,intent_id,rep,complexity,ue_band,scenario,deployment_time_s,config_error_rate,resource_accuracy,interventions,intent_to_deploy_accuracy,policy_violation_rate,error
gpt120b,M02,0,medium,200,steady,144.173,0.2,0.9686,0,1,0.2,
gpt120b,M02,1,medium,200,steady,144.647,0.2,0.9686,0,1,0.2,
gpt120b,M02,2,medium,200,steady,143.82,0.2,0.9686,0,1,0.2,
gpt120b,M02,3,medium,200,steady,144.391,0.2,0.9686,0,1,0.2,
gpt120b,M02,4,medium,200,steady,145.266,0.2,0.9686,0,1,0.2,
gpt120b,M03,0,medium,500,fault-HA,140.127,0.0,0.7038,0,1,0.2,
gpt120b,M03,1,medium,500,fault-HA,140.548,0.0,0.7038,0,1,0.2,
gpt120b,M03,2,medium,500,fault-HA,141.133,0.0,0.7038,0,1,0.2,
gpt120b,M03,3,medium,500,fault-HA,140.349,0.0,0.7038,0,1,0.2,
gpt120b,M03,4,medium,500,fault-HA,140.924,0.0,0.7038,0,1,0.2,
gpt120b,M04,0,medium,500,steady,143.326,0.2,0.5769,0,1,0.2,
gpt120b,M04,1,medium,500,steady,143.238,0.2,0.5769,0,1,0.2,
gpt120b,M04,2,medium,500,steady,143.021,0.2,0.5769,0,1,0.2,
gpt120b,M04,3,medium,500,steady,143.917,0.2,0.5769,0,1,0.2,
gpt120b,M04,4,medium,500,steady,142.358,0.2,0.5769,0,1,0.2,
gpt120b,M05,0,medium,500,steady,140.403,0.0,0.4957,0,1,0.2,
gpt120b,M05,1,medium,500,steady,140.132,0.0,0.4957,0,1,0.2,
gpt120b,M05,2,medium,500,steady,140.74,0.0,0.4868,0,1,0.2,
gpt120b,M05,3,medium,500,steady,141.29,0.0,0.4957,0,1,0.2,
gpt120b,M05,4,medium,500,steady,143.621,0.2,0.4957,0,1,0.2,
gpt120b,M06,0,medium,200,fault-HA,141.589,0.2,0.6976,0,1,0.2,
gpt120b,M06,1,medium,200,fault-HA,141.831,0.2,0.6976,1,0,0.2,
gpt120b,M06,2,medium,200,fault-HA,143.202,0.2,0.6976,1,0,0.2,
gpt120b,M06,3,medium,200,fault-HA,143.038,0.2,0.6976,0,1,0.2,
gpt120b,M06,4,medium,200,fault-HA,141.808,0.2,0.6976,0,1,0.2,
gpt120b,M07,0,medium,200,steady,143.611,0.2,0.9443,0,1,0.2,
gpt120b,M07,1,medium,200,steady,143.104,0.2,0.9443,0,1,0.2,
gpt120b,M07,2,medium,200,steady,142.08,0.1111,0.9443,0,1,0.2,
gpt120b,M07,3,medium,200,steady,141.928,0.1111,0.9443,0,1,0.2,
gpt120b,M07,4,medium,200,steady,141.547,0.1111,0.9443,0,1,0.2,
gpt120b,M08,0,medium,500,bursty-headroom,144.664,0.2,0.3916,0,1,0.2,
gpt120b,M08,1,medium,500,bursty-headroom,144.733,0.2,0.3916,0,1,0.2,
gpt120b,M08,2,medium,500,bursty-headroom,143.171,0.2,0.3827,0,1,0.2,
gpt120b,M08,3,medium,500,bursty-headroom,144.809,0.2,0.3916,0,1,0.2,
gpt120b,M08,4,medium,500,bursty-headroom,144.728,0.2,0.3827,0,1,0.2,
gpt120b,M09,0,medium,200,steady,143.268,0.2,0.9474,0,1,0.2,
gpt120b,M09,1,medium,200,steady,143.42,0.2,0.9474,0,1,0.2,
gpt120b,M09,2,medium,200,steady,142.642,0.2,0.9474,0,1,0.2,
gpt120b,M09,3,medium,200,steady,143.784,0.2,0.9474,0,1,0.2,
gpt120b,M09,4,medium,200,steady,143.826,0.2,0.9474,0,1,0.2,
gpt120b,M10,0,medium,200,steady,141.266,0.0,0.872,0,1,0.2,
gpt120b,M10,1,medium,200,steady,140.309,0.0,0.872,0,1,0.2,
gpt120b,M10,2,medium,200,steady,140.215,0.0,0.872,0,1,0.2,
gpt120b,M10,3,medium,200,steady,143.943,0.2,0.872,0,1,0.2,
gpt120b,M10,4,medium,200,steady,144.066,0.2,0.872,0,1,0.2,
gpt120b,N02,0,medium,50,steady,143.266,0.2,0.8999,0,1,0.2,
gpt120b,N02,1,medium,50,steady,143.463,0.2,0.8999,0,1,0.2,
gpt120b,N02,2,medium,50,steady,143.215,0.2,0.8999,0,1,0.2,
gpt120b,N02,3,medium,50,steady,142.895,0.2,0.8999,0,1,0.2,
gpt120b,N02,4,medium,50,steady,144.255,0.2,0.8999,0,1,0.2,
gpt120b,N03,0,medium,200,bursty-headroom,142.211,0.2,0.9238,0,1,0.2,
gpt120b,N03,1,medium,200,bursty-headroom,141.685,0.2,0.9238,0,1,0.2,
gpt120b,N03,2,medium,200,bursty-headroom,142.988,0.2,0.9238,0,1,0.2,
gpt120b,N03,3,medium,200,bursty-headroom,143.157,0.2,0.9238,0,1,0.2,
gpt120b,N03,4,medium,200,bursty-headroom,142.246,0.2,0.9238,0,1,0.2,
gpt120b,N04,0,medium,500,sinusoidal-autoscale,142.719,0.2,0.7956,1,0,0.2,
gpt120b,N04,1,medium,500,sinusoidal-autoscale,142.659,0.2,0.7956,1,0,0.2,
gpt120b,N04,2,medium,500,sinusoidal-autoscale,142.908,0.2,0.7956,1,0,0.2,
gpt120b,N04,3,medium,500,sinusoidal-autoscale,143.837,0.2,0.7956,1,0,0.2,
gpt120b,N04,4,medium,500,sinusoidal-autoscale,145.017,0.2,0.7956,1,0,0.2,
gpt120b,N05,0,medium,200,sinusoidal-autoscale,143.736,0.2,0.9474,1,0,0.2,
gpt120b,N05,1,medium,200,sinusoidal-autoscale,142.406,0.2,0.9474,1,0,0.2,
gpt120b,N05,2,medium,200,sinusoidal-autoscale,142.306,0.2,0.9474,1,0,0.2,
gpt120b,N05,3,medium,200,sinusoidal-autoscale,142.464,0.2,0.9474,1,0,0.2,
gpt120b,N05,4,medium,200,sinusoidal-autoscale,143.194,0.2,0.9474,1,0,0.2,
gpt120b,N06,0,medium,50,fault-HA,141.904,0.2,0.7013,1,0,0.2,
gpt120b,N06,1,medium,50,fault-HA,141.71,0.2,0.7013,1,0,0.2,
gpt120b,N06,2,medium,50,fault-HA,141.187,0.2,0.7013,1,0,0.2,
gpt120b,N06,3,medium,50,fault-HA,142.864,0.2,0.7013,1,0,0.2,
gpt120b,N06,4,medium,50,fault-HA,141.56,0.2,0.7013,1,0,0.2,
gpt120b,N07,0,medium,500,bursty-headroom,144.574,0.2,0.8036,0,1,0.2,
gpt120b,N07,1,medium,500,bursty-headroom,143.304,0.2,0.8036,0,1,0.2,
gpt120b,N07,2,medium,500,bursty-headroom,142.715,0.2,0.8036,0,1,0.2,
gpt120b,N07,3,medium,500,bursty-headroom,143.393,0.2,0.8036,0,1,0.2,
gpt120b,N07,4,medium,500,bursty-headroom,142.538,0.2,0.8036,0,1,0.2,
gpt120b,N08,0,medium,200,fault-HA,141.502,0.2,0.6147,0,1,0.2,
gpt120b,N08,1,medium,200,fault-HA,142.035,0.2,0.6147,0,1,0.2,
gpt120b,N08,2,medium,200,fault-HA,143.133,0.2,0.6147,0,1,0.2,
gpt120b,N08,3,medium,200,fault-HA,141.836,0.2,0.6147,0,1,0.2,
gpt120b,N08,4,medium,200,fault-HA,142.106,0.2,0.6147,0,1,0.2,
gpt120b,C01,0,complex,500,fault-HA,744.848,0.2,0.0,1,0,0.2,
gpt120b,C01,1,complex,500,fault-HA,142.932,0.2,0.5372,0,1,0.2,
gpt120b,C01,2,complex,500,fault-HA,143.609,0.2,0.5372,0,1,0.2,
gpt120b,C01,3,complex,500,fault-HA,143.658,0.2,0.5372,0,1,0.2,
gpt120b,C01,4,complex,500,fault-HA,143.252,0.2,0.5372,0,1,0.2,
gpt120b,C02,0,complex,500,steady,143.384,0.2,0.4459,0,1,0.2,
gpt120b,C02,1,complex,500,steady,146.648,0.2,0.4459,0,1,0.2,
gpt120b,C02,2,complex,500,steady,144.842,0.2,0.4459,0,1,0.2,
gpt120b,C02,3,complex,500,steady,145.603,0.2,0.4459,0,1,0.2,
gpt120b,C02,4,complex,500,steady,144.632,0.2,0.4459,0,1,0.2,
gpt120b,C03,0,complex,200,fault-HA,142.59,0.2,0.5876,1,0,0.2,
gpt120b,C03,1,complex,200,fault-HA,142.569,0.2,0.5876,1,0,0.2,
gpt120b,C03,2,complex,200,fault-HA,141.694,0.1111,0.5876,1,0,0.2,
gpt120b,C03,3,complex,200,fault-HA,142.657,0.2,0.5876,1,0,0.2,
gpt120b,C03,4,complex,200,fault-HA,141.899,0.1111,0.5876,1,0,0.2,
gpt120b,C04,0,complex,200,steady,142.427,0.1111,0.9447,0,1,0.2,
gpt120b,C04,1,complex,200,steady,142.596,0.1111,0.9447,0,1,0.2,
gpt120b,C04,2,complex,200,steady,142.198,0.1111,0.9447,0,1,0.2,
gpt120b,C04,3,complex,200,steady,143.782,0.1111,0.9447,0,1,0.2,
gpt120b,C04,4,complex,200,steady,143.506,0.1111,0.9447,0,1,0.2,
gpt120b,C05,0,complex,500,bursty-headroom,142.015,0.1111,0.3597,0,1,0.2,
gpt120b,C05,1,complex,500,bursty-headroom,142.584,0.1111,0.3597,0,1,0.2,
gpt120b,C05,2,complex,500,bursty-headroom,142.433,0.1111,0.3597,0,1,0.2,
gpt120b,C05,3,complex,500,bursty-headroom,141.247,0.1111,0.3597,0,1,0.2,
gpt120b,C05,4,complex,500,bursty-headroom,142.412,0.1111,0.3597,0,1,0.2,
gpt120b,C06,0,complex,500,steady,145.41,0.2,0.6354,0,1,0.2,
gpt120b,C06,1,complex,500,steady,145.954,0.1111,0.6427,0,1,0.2,
gpt120b,C06,2,complex,500,steady,145.18,0.1111,0.6427,0,1,0.2,Topology has issues: Connection references unknown VNF: oai-gnb
gpt120b,C06,3,complex,500,steady,144.41,0.1111,0.6427,0,1,0.2,Topology has issues: Connection references unknown VNF: oai-gnb
gpt120b,C06,4,complex,500,steady,146.164,0.1111,0.6427,0,1,0.2,
gpt120b,C07,0,complex,200,fault-HA,142.049,0.1111,0.6286,0,1,0.2,
gpt120b,C07,1,complex,200,fault-HA,141.745,0.1111,0.6286,0,1,0.2,
gpt120b,C07,2,complex,200,fault-HA,143.202,0.2,0.6286,0,1,0.2,
gpt120b,C07,3,complex,200,fault-HA,143.216,0.2,0.6286,0,1,0.2,
gpt120b,C07,4,complex,200,fault-HA,143.882,0.2,0.6286,0,1,0.2,
gpt120b,C08,0,complex,500,steady,140.684,0.1111,0.7183,1,0,0.2,
gpt120b,C08,1,complex,500,steady,747.538,0.1111,0.0,1,0,0.2,
gpt120b,C08,2,complex,500,steady,742.851,0.1111,0.0,1,0,0.2,
gpt120b,C08,3,complex,500,steady,741.23,0.1111,0.0,1,0,0.2,
gpt120b,C08,4,complex,500,steady,745.826,0.1111,0.0,1,0,0.2,
gpt120b,C09,0,complex,50,steady,143.847,0.2,0.8646,0,0,0.2,
gpt120b,C09,1,complex,50,steady,143.574,0.2,0.8646,0,0,0.2,
gpt120b,C09,2,complex,50,steady,143.175,0.2,0.8646,0,0,0.2,
gpt120b,C09,3,complex,50,steady,142.455,0.2,0.8646,0,0,0.2,
gpt120b,C09,4,complex,50,steady,143.357,0.2,0.8646,0,0,0.2,
gpt120b,N09,0,complex,200,bursty-headroom,141.377,0.1111,0.8875,0,1,0.2,
gpt120b,N09,1,complex,200,bursty-headroom,141.654,0.1111,0.8875,0,1,0.2,
gpt120b,N09,2,complex,200,bursty-headroom,141.79,0.1111,0.8875,0,1,0.2,
gpt120b,N09,3,complex,200,bursty-headroom,140.272,0.1111,0.8875,0,1,0.2,
gpt120b,N09,4,complex,200,bursty-headroom,140.351,0.1111,0.8875,0,1,0.2,
gpt120b,N10,0,complex,200,sinusoidal-autoscale,142.21,0.2,0.9155,1,0,0.2,
gpt120b,N10,1,complex,200,sinusoidal-autoscale,142.802,0.2,0.9155,1,0,0.2,
gpt120b,N10,2,complex,200,sinusoidal-autoscale,143.471,0.2,0.9155,1,0,0.2,
gpt120b,N10,3,complex,200,sinusoidal-autoscale,143.439,0.2,0.9155,1,0,0.2,
gpt120b,N10,4,complex,200,sinusoidal-autoscale,142.728,0.2,0.9155,1,0,0.2,
gpt120b,N11,0,complex,500,sinusoidal-autoscale,143.323,0.2,0.7949,1,0,0.2,
gpt120b,N11,1,complex,500,sinusoidal-autoscale,143.583,0.2,0.7949,1,0,0.2,
gpt120b,N11,2,complex,500,sinusoidal-autoscale,144.54,0.2,0.7875,1,0,0.2,
gpt120b,N11,3,complex,500,sinusoidal-autoscale,144.124,0.2,0.7875,1,0,0.2,
gpt120b,N11,4,complex,500,sinusoidal-autoscale,142.557,0.2,0.7949,1,0,0.2,
gemma3_4b,S01,0,simple,50,steady,13.318,0.0,0.926,0,0,0.2,Topology has issues: Connection references unknown VNF: ueransim-gnb
gemma3_4b,S01,1,simple,50,steady,12.997,0.0,0.926,0,0,0.2,
gemma3_4b,S01,2,simple,50,steady,13.673,0.0,0.926,0,0,0.2,Topology has issues: Connection references unknown VNF: ueransim-gnb
gemma3_4b,S01,3,simple,50,steady,13.288,0.0,0.926,0,0,0.2,Topology has issues: Connection references unknown VNF: ueransim-gnb
gemma3_4b,S01,4,simple,50,steady,13.857,0.0,0.926,0,0,0.2,Topology has issues: Connection references unknown VNF: ueransim-gnb
gemma3_4b,S02,0,simple,200,steady,16.229,0.2,0.9926,0,0,0.2,
gemma3_4b,S02,1,simple,200,steady,16.415,0.2,0.9926,0,0,0.2,
gemma3_4b,S02,2,simple,200,steady,15.321,0.2,0.9926,0,0,0.2,
gemma3_4b,S02,3,simple,200,steady,16.072,0.2,0.9926,0,0,0.2,
gemma3_4b,S02,4,simple,200,steady,16.13,0.2,0.9926,0,0,0.2,
gemma3_4b,S03,0,simple,50,steady,12.307,0.0,0.8646,0,0,0.2,Topology has issues: Connection references unknown VNF: ueransim-gnb
gemma3_4b,S03,1,simple,50,steady,11.911,0.0,0.8646,0,0,0.2,Topology has issues: Connection references unknown VNF: internet
gemma3_4b,S03,2,simple,50,steady,12.176,0.0,0.8646,0,0,0.2,Topology has issues: Connection references unknown VNF: ueransim-gnb
gemma3_4b,S03,3,simple,50,steady,12.322,0.0,0.8646,0,0,0.2,Topology has issues: Connection references unknown VNF: ueransim-gnb
gemma3_4b,S03,4,simple,50,steady,12.215,0.0,0.8646,0,0,0.2,Topology has issues: Connection references unknown VNF: ueransim-gnb
gemma3_4b,S04,0,simple,50,steady,15.941,0.2,0.926,0,0,0.2,
gemma3_4b,S04,1,simple,50,steady,13.891,0.0,0.926,0,0,0.2,Topology has issues: Connection references unknown VNF: ueransim-gnb
gemma3_4b,S04,2,simple,50,steady,15.61,0.2,0.926,0,0,0.2,
gemma3_4b,S04,3,simple,50,steady,11.919,0.0,0.926,0,0,0.2,Topology has issues: Connection references unknown VNF: ueransim-gnb
gemma3_4b,S04,4,simple,50,steady,15.754,0.2,0.926,0,0,0.2,
gemma3_4b,S05,0,simple,200,steady,7.963,0.0,0.8861,0,0,0.2,
gemma3_4b,S05,1,simple,200,steady,7.818,0.0,0.8861,0,0,0.2,Topology has issues: Connection references unknown VNF: ueransim-gnb
gemma3_4b,S05,2,simple,200,steady,7.867,0.0,0.8861,0,0,0.2,Topology has issues: Connection references unknown VNF: ueransim-gnb
gemma3_4b,S05,3,simple,200,steady,7.932,0.0,0.8861,0,0,0.2,Topology has issues: Connection references unknown VNF: ueransim-gnb
gemma3_4b,S05,4,simple,200,steady,7.97,0.0,0.8861,0,0,0.2,Topology has issues: Connection references unknown VNF: ueransim-gnb
gemma3_4b,S06,0,simple,50,steady,12.413,0.0,0.916,1,0,0.2,
gemma3_4b,S06,1,simple,50,steady,9.501,0.0,0.916,1,0,0.2,
gemma3_4b,S06,2,simple,50,steady,6.059,0.0,0.916,1,0,0.2,
gemma3_4b,S06,3,simple,50,steady,7.163,0.0,0.916,1,0,0.2,
gemma3_4b,S06,4,simple,50,steady,5.427,0.0,0.9327,1,0,0.2,
gemma3_4b,N01,0,simple,500,steady,12.733,0.0,0.8041,0,0,0.2,
gemma3_4b,N01,1,simple,500,steady,12.082,0.0,0.8041,0,0,0.2,Topology has issues: Connection references unknown VNF: internet
gemma3_4b,N01,2,simple,500,steady,12.149,0.0,0.8041,0,0,0.2,Topology has issues: Connection references unknown VNF: internet
gemma3_4b,N01,3,simple,500,steady,12.18,0.0,0.8041,0,0,0.2,Topology has issues: Connection references unknown VNF: internet
gemma3_4b,N01,4,simple,500,steady,12.003,0.0,0.8041,0,0,0.2,Topology has issues: Connection references unknown VNF: internet
gemma3_4b,M01,0,medium,500,steady,11.685,0.0,0.9927,0,0,0.2,
gemma3_4b,M01,1,medium,500,steady,11.726,0.0,0.9927,0,0,0.2,
gemma3_4b,M01,2,medium,500,steady,11.679,0.0,0.9927,0,0,0.2,
gemma3_4b,M01,3,medium,500,steady,11.676,0.0,0.9927,0,0,0.2,
gemma3_4b,M01,4,medium,500,steady,11.675,0.0,0.9927,0,0,0.2,
gemma3_4b,M02,0,medium,200,steady,12.947,0.0,0.9686,0,0,0.2,Topology has issues: Connection references unknown VNF: ueransim-gnb
gemma3_4b,M02,1,medium,200,steady,12.098,0.2857,0.9512,1,0,0.2,Topology has issues: Connection references unknown VNF: oai-nssf
gemma3_4b,M02,2,medium,200,steady,11.69,0.2857,0.9512,1,0,0.2,
gemma3_4b,M02,3,medium,200,steady,11.647,0.2857,0.9512,1,0,0.2,
gemma3_4b,M02,4,medium,200,steady,11.965,0.2857,0.9512,1,0,0.2,Topology has issues: Connection references unknown VNF: oai-nssf
gemma3_4b,M03,0,medium,500,fault-HA,13.82,0.0,0.6922,0,0,0.2,Topology has issues: Connection references unknown VNF: ueransim-gnb
gemma3_4b,M03,1,medium,500,fault-HA,16.97,0.0,0.6922,0,0,0.2,Topology has issues: Connection references unknown VNF: ueransim-gnb
gemma3_4b,M03,2,medium,500,fault-HA,12.247,0.0,0.6922,0,0,0.2,Topology has issues: Connection references unknown VNF: ueransim-gnb
gemma3_4b,M03,3,medium,500,fault-HA,12.678,0.0,0.6922,0,0,0.2,
gemma3_4b,M03,4,medium,500,fault-HA,12.744,0.0,0.6922,0,0,0.2,Topology has issues: Connection references unknown VNF: ueransim-gnb
gemma3_4b,M04,0,medium,500,steady,8.237,0.0,0.4995,0,0,0.2,Topology has issues: Connection references unknown VNF: ueransim-gnb
gemma3_4b,M04,1,medium,500,steady,8.265,0.0,0.4995,0,0,0.2,Topology has issues: Connection references unknown VNF: ueransim-gnb
gemma3_4b,M04,2,medium,500,steady,8.109,0.0,0.4995,0,0,0.2,Topology has issues: Connection references unknown VNF: ueransim-gnb
gemma3_4b,M04,3,medium,500,steady,8.282,0.0,0.4995,0,0,0.2,Topology has issues: Connection references unknown VNF: ueransim-gnb
gemma3_4b,M04,4,medium,500,steady,8.103,0.0,0.4995,0,0,0.2,Topology has issues: Connection references unknown VNF: ueransim-gnb
gemma3_4b,M05,0,medium,500,steady,14.0,0.0,0.5042,0,0,0.2,Topology has issues: Connection references unknown VNF: internet
gemma3_4b,M05,1,medium,500,steady,11.825,0.0,0.5042,0,0,0.2,Topology has issues: Connection references unknown VNF: ueransim-gnb
gemma3_4b,M05,2,medium,500,steady,11.912,0.0,0.5042,0,0,0.2,Topology has issues: Connection references unknown VNF: ueransim-gnb
gemma3_4b,M05,3,medium,500,steady,9.441,0.0,0.388,1,0,0.2,
gemma3_4b,M05,4,medium,500,steady,12.004,0.0,0.5042,0,0,0.2,
gemma3_4b,M06,0,medium,200,fault-HA,7.83,0.0,0.7301,1,0,0.2,
gemma3_4b,M06,1,medium,200,fault-HA,7.955,0.0,0.7301,1,0,0.2,
gemma3_4b,M06,2,medium,200,fault-HA,8.068,0.0,0.7301,1,0,0.2,
gemma3_4b,M06,3,medium,200,fault-HA,8.099,0.0,0.7301,1,0,0.2,
gemma3_4b,M06,4,medium,200,fault-HA,8.091,0.0,0.7301,1,0,0.2,
gemma3_4b,M07,0,medium,200,steady,7.275,0.0,0.9106,1,0,0.2,
gemma3_4b,M07,1,medium,200,steady,7.321,0.0,0.9106,1,0,0.2,
gemma3_4b,M07,2,medium,200,steady,7.325,0.0,0.9106,1,0,0.2,
gemma3_4b,M07,3,medium,200,steady,7.684,0.0,0.9106,1,0,0.2,
gemma3_4b,M07,4,medium,200,steady,8.007,0.0,0.9106,1,0,0.2,
gemma3_4b,M08,0,medium,500,bursty-headroom,17.469,0.0,0.4001,0,0,0.2,Topology has issues: Connection references unknown VNF: ueransim-gnb
gemma3_4b,M08,1,medium,500,bursty-headroom,17.984,0.2,0.4001,0,0,0.2,
gemma3_4b,M08,2,medium,500,bursty-headroom,13.956,0.0,0.3691,0,0,0.2,
gemma3_4b,M08,3,medium,500,bursty-headroom,8.345,0.0,0.4011,0,0,0.2,Topology has issues: Connection references unknown VNF: ueransim-gnb
gemma3_4b,M08,4,medium,500,bursty-headroom,17.278,0.0,0.4001,0,0,0.2,Topology has issues: Connection references unknown VNF: ueransim-gnb
gemma3_4b,M09,0,medium,200,steady,15.526,0.0,0.9334,0,0,0.2,
gemma3_4b,M09,1,medium,200,steady,13.363,0.0,0.9334,0,0,0.2,
gemma3_4b,M09,2,medium,200,steady,13.523,0.0,0.9334,0,0,0.2,
gemma3_4b,M09,3,medium,200,steady,7.486,0.0,0.9334,0,0,0.2,
gemma3_4b,M09,4,medium,200,steady,13.567,0.0,0.9334,0,0,0.2,
gemma3_4b,M10,0,medium,200,steady,14.184,0.0,0.872,0,0,0.2,Topology has issues: Connection references unknown VNF: ueransim-gnb
gemma3_4b,M10,1,medium,200,steady,24.734,0.0,0.872,0,0,0.2,Topology has issues: Connection references unknown VNF: ueransim-gnb
gemma3_4b,M10,2,medium,200,steady,26.135,0.0,0.872,0,0,0.2,Topology has issues: Connection references unknown VNF: ueransim-gnb
gemma3_4b,M10,3,medium,200,steady,13.542,0.0,0.872,0,0,0.2,Topology has issues: Connection references unknown VNF: ueransim-gnb
gemma3_4b,M10,4,medium,200,steady,13.065,0.0,0.872,0,0,0.2,Topology has issues: Connection references unknown VNF: ueransim-gnb
gemma3_4b,N02,0,medium,50,steady,12.052,0.0,0.8999,0,0,0.2,Topology has issues: Connection references unknown VNF: ueransim-gnb
gemma3_4b,N02,1,medium,50,steady,12.227,0.0,0.8999,0,0,0.2,Topology has issues: Connection references unknown VNF: ueransim-gnb
gemma3_4b,N02,2,medium,50,steady,12.104,0.0,0.8999,0,0,0.2,Topology has issues: Connection references unknown VNF: ueransim-gnb
gemma3_4b,N02,3,medium,50,steady,12.26,0.0,0.8999,0,0,0.2,Topology has issues: Connection references unknown VNF: ueransim-gnb
gemma3_4b,N02,4,medium,50,steady,12.067,0.0,0.8999,0,0,0.2,Topology has issues: Connection references unknown VNF: ueransim-gnb
gemma3_4b,N03,0,medium,200,bursty-headroom,14.071,0.0,0.9153,0,0,0.2,Topology has issues: Connection references unknown VNF: internet
gemma3_4b,N03,1,medium,200,bursty-headroom,14.405,0.0,0.9153,0,0,0.2,Topology has issues: Connection references unknown VNF: ueransim-gnb; Connection references unknown VNF: ueransim-ue
gemma3_4b,N03,2,medium,200,bursty-headroom,14.537,0.0,0.9153,0,0,0.2,Topology has issues: Connection references unknown VNF: ueransim-gnb
gemma3_4b,N03,3,medium,200,bursty-headroom,14.397,0.0,0.9153,0,0,0.2,Topology has issues: Connection references unknown VNF: ueransim-gnb
gemma3_4b,N03,4,medium,200,bursty-headroom,8.005,0.0,0.8861,0,0,0.2,Topology has issues: Connection references unknown VNF: ueransim-gnb
gemma3_4b,N04,0,medium,500,sinusoidal-autoscale,8.131,0.0,0.7345,0,0,0.2,Topology has issues: Connection references unknown VNF: ueransim-gnb
gemma3_4b,N04,1,medium,500,sinusoidal-autoscale,7.626,0.0,0.7345,0,0,0.2,Topology has issues: Connection references unknown VNF: ueransim-gnb
gemma3_4b,N04,2,medium,500,sinusoidal-autoscale,7.633,0.0,0.7345,0,0,0.2,Topology has issues: Connection references unknown VNF: ueransim-gnb
gemma3_4b,N04,3,medium,500,sinusoidal-autoscale,7.718,0.0,0.7345,0,0,0.2,Topology has issues: Connection references unknown VNF: ueransim-gnb
gemma3_4b,N04,4,medium,500,sinusoidal-autoscale,7.673,0.0,0.7345,0,0,0.2,Topology has issues: Connection references unknown VNF: ueransim-gnb
gemma3_4b,N05,0,medium,200,sinusoidal-autoscale,13.045,0.0,0.9474,0,0,0.2,Topology has issues: Connection references unknown VNF: ueransim-gnb
